invoice_id,customer_id,invoice_number,invoice_date,due_date,payment_terms,invoice_amount,currency,outstanding_amount,status,dispute_flag,dispute_reason,reporting_currency,exchange_rate,exchange_rate_source
171178cb-c084-4435-8d3a-9f1f6c70bf01,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-30201,2025-01-28,2025-03-29,Net60,139388.24,EUR,139388.24,open,True,,,,
de1be849-b765-41f7-9bd2-8006df9e87a8,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-47618,2025-10-08,2025-12-07,Net60,149416.42,EUR,0.0,paid,False,,,,
67dcf502-c4cd-435f-8830-c1f19f9b2b11,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-96652,2025-03-03,2025-05-02,Net60,132189.19,EUR,132189.19,open,False,,,,
930acf28-1779-41bb-a65c-b6807aeab48e,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-25433,2025-06-02,2025-08-01,Net60,125144.87,EUR,0.0,paid,False,,,,
718a180e-e351-4169-b96e-005d2002b584,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-72660,2026-01-19,2026-03-20,Net60,15986.18,EUR,15986.18,open,False,,,,
2849b53b-882d-4e64-9a6d-ea49b4083926,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-13285,2024-06-28,2024-08-27,Net60,111491.29,EUR,0.0,paid,False,,,,
e0a720d1-1f3c-4b7e-933d-04c6df327b86,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-24337,2024-10-05,2024-12-04,Net60,103280.82,EUR,103280.82,open,False,,,,
490aa64b-fd89-4f6a-b700-a31ded868f3e,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-13685,2024-05-02,2024-07-01,Net60,14298.62,EUR,0.0,paid,False,,,,
d3e958c6-18bc-415e-aaf8-2446d0ed5bae,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-83187,2024-07-22,2024-09-20,Net60,95748.45,EUR,0.0,paid,False,,,,
0e002806-bab2-49d5-b4fc-5ea9fb4b9b09,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-77091,2024-07-03,2024-09-01,Net60,11748.96,EUR,11748.96,open,False,,,,
c56628e5-575d-47e5-b00b-b6721e5b98ab,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-69764,2024-04-16,2024-06-15,Net60,125271.96,EUR,0.0,paid,False,,,,
3f6eddde-6ff8-4c17-82a7-f1e9c7e0dcc9,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-49776,2025-01-20,2025-03-21,Net60,55015.4,EUR,55015.4,open,False,,,,
e992410e-c8ca-4a1c-bede-4f339edb963a,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-98198,2025-03-12,2025-05-11,Net60,31906.44,EUR,0.0,paid,False,,,,
2e2313ab-7ef9-49e4-a281-c9e4c69400b9,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-45225,2024-11-08,2025-01-07,Net60,129758.55,EUR,129758.55,open,False,,,,
d389f936-46fb-4ae0-b9a8-5c7d4c9de89e,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-43585,2024-04-05,2024-06-04,Net60,27314.42,EUR,27314.42,open,False,,,,
827ca4ba-1725-4526-bd94-55a9544f8fe3,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-65213,2026-01-25,2026-03-26,Net60,129677.57,EUR,129677.57,open,False,,,,
f7695fdb-c795-4f34-8c40-0ceec3930f97,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-98307,2026-02-27,2026-04-28,Net60,16660.3,EUR,16660.3,open,False,,,,
8d61be7b-b30f-4bab-813b-fc0565c232c1,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-42640,2024-10-24,2024-12-23,Net60,30336.14,EUR,30336.14,open,False,,,,
68c30511-7aa8-46c9-abce-4c80c0f77a93,e872d858-1e15-4827-be7d-7eeaf1c0e7e5,INV-90444,2024-10-25,2024-12-24,Net60,4037.83,EUR,0.0,paid,False,,,,
75196699-edc5-48bb-9bcc-d36ae11ee155,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-16383,2025-08-14,2025-10-13,Net60,60251.92,INR,60251.92,open,False,,,,
ce1ce2b1-5131-4d39-ba66-2f4993667a96,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-86483,2024-07-07,2024-09-05,Net60,131617.24,INR,0.0,paid,False,,,,
eadc898a-dd59-44fa-9da8-f6b601e778bd,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-82328,2024-06-30,2024-08-29,Net60,89687.4,INR,0.0,paid,False,,,,
0d613dba-e415-4a34-b647-8746531ca108,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-84159,2025-04-09,2025-06-08,Net60,134975.96,INR,0.0,paid,True,,,,
68334040-0c5f-4f02-a014-e96988eeab1e,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-91043,2025-08-25,2025-10-24,Net60,138873.49,INR,0.0,paid,False,,,,
e48f1c7c-ee0b-48d9-97f5-729c2f188ca8,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-18770,2025-05-26,2025-07-25,Net60,10961.08,INR,0.0,paid,False,,,,
be886f0c-f8d2-4ddc-ac9d-f5d88167668b,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-81920,2025-01-12,2025-03-13,Net60,76314.81,INR,0.0,paid,False,,,,
0108aaea-5616-42a4-90e4-f743a7cdae6a,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-98417,2024-09-23,2024-11-22,Net60,63356.73,INR,63356.73,open,False,,,,
4ada6472-d788-40c6-b800-bd2a08f1e63f,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-94702,2025-12-01,2026-01-30,Net60,85581.24,INR,0.0,paid,False,,,,
aee03735-38b5-4f85-a9e8-f7c9952be2b0,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-11385,2024-10-12,2024-12-11,Net60,64768.28,INR,0.0,paid,False,,,,
c19ce111-84ca-4769-b3af-4add696c42da,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-59049,2025-06-06,2025-08-05,Net60,101506.27,INR,0.0,paid,False,,,,
53ea9589-5ed2-4326-b5ac-b2664b45e93d,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-96517,2024-12-26,2025-02-24,Net60,77560.08,INR,0.0,paid,False,,,,
882ed0ea-dfb8-4f6a-9e58-5d58172cab0b,b56e18f1-dbf1-4480-8a4c-78004d1b4d5e,INV-85216,2024-10-27,2024-12-26,Net60,121081.15,INR,0.0,paid,True,,,,
